GeneA	GeneB	Class	From	Recs.add	Recs.sub	EssgCom	GOSemSim_MF	GOSemSim_BP	GOSemSim_CC	GeneMANIAGG	HI.add	HI.sub	BioDis	LofIn.add	LofIn.sub	BioGRIDPP	STRINGPP	REAC_FI	PS_2DbJacSim	HighexpPer	Abundance.add	Abundance.sub	COXPRESdbMRvalue	DOSemSim
OVOL2	RNFT1	0	Coding_Random	0.204822	0.016438	1	0.157	0.198	0.704	0	0.838	0.696	0.118201	0.447303	0.424892	0	0	0.0016928614	0	0.2381	1.4e-05	1.1e-05	0.6167	0
BCAS4	C16orf96	0	Coding_Random	0.33618525	0.11179513	0	0.32501242	0.1758331	0.38263884	0	0.39877504	0.17676316	0.10527018	0.116927	0.023648	0	0	0	0	0	6e-06	8e-06	0.3926	0.0738132
LRCH3	ZNF710	0	Coding_Random	0.212797	0.016513	0	0.214	0	0.413	0	0.337	0.083	0.120035	0.943124	0.943124	0	0	0	0	0.1304	4.8e-05	5.4e-05	0.4882	0
ACTN2	WDPCP	0	Coding_Random	0.45211852	0.19723488	0	0	0.277	0.48	0	0.5759928	0.33437592	0.10034034	0.999812	0.999812	0	0	0	0	0	0.001891	0.003333	0.4862	0
COL6A3	BCS1L	0	Coding_Random	1.057303	0.25011	0	0.214	0.259	0.243	0	1.105	0.795	0.095715	0	0	0	0	0	0	0.4375	0.002424	0.003407	0.5013	0.209
APOBEC3G	ORC3	0	Coding_Random	0.37569904	0.14569126	0	0.561	0.347	0.561	0	0.44015065	0.18411717	0.054895	0.000311	0.000309	0	0	0	0	0.4286	0.00018	0.00014	0.3286	0
MGAT5B	PROZ	0	Coding_Random	0.395687	0.118017	0	0	0.08	0.717	0	0.312	0.128	0.156151	0.126104	0.126104	0	0	0	0	0	0.000328	0.000572	0.3367	0
SOGA1	CACNB2	0	Coding_Random	0.31523862	0.10871279	1	0.477	0.14	0.116	0	0.57408667	0.2927684	0.109548	0.999385	0.995744	0	0	0	0	0.25	3e-05	2.5e-05	0.4361	0
CCER2	H2AC15	0	Coding_Random	0.36031953	0.1348967	0	0.3857798	0.1782445	0.37229392	2.922643e-06	0.4931017	0.24726385	0.09904451	0.53043634	0.37521493	0	0.006907884	0.00016832784	0.001865551	0.12877612	0.0010713425	0.0017747759	0.48878217	0.07897022
ZDHHC24	PPAT	0	Coding_Random	0.38110667	0.16074765	0	0	0.144	0.574	0	0.975	0.761	0.125435	1.000705	0.988424	0	0	0	0	0.2143	0.001191	0.002098	0.532	0
TGFBI	DIO3	0	Coding_Random	0.534434	0.18497714	2	0.214	0.31	1	0	0.725	0.229	0.0929	0.771769	0.764324	0	0	0	0	0.1333	0.001179	0.002085	0.5173	0.839
RRP1	ANKEF1	0	Coding_Random	0.3679713	0.13822806	0	0.28484952	0.17174028	0.40595055	0	0.39404285	0.16399485	0.096294	0.00185	0.00185	0	0	0	0	0.1667	0.000438	0.00076	0.4851	0.062678136
ADCK1	SFI1	0	Coding_Random	0.225447	0.043308	0	1	0	0	0	0.28	0.03	0.053664	0	0	0	0	0	0	0.3333	1.1e-05	1.6e-05	0.3931	0
RAB40B	FGD4	0	Coding_Random	0.241469	0.017877	0	0.129	0.301	0.618	0	0.175	0.011	0.060593	0.339615	0.331943	0	0	0	0	0.0417	3.4e-05	2.8e-05	0.5421	0
TMC2	ZBED4	0	Coding_Random	0.211778	0.00277	0	0.267	0	0.314	0	0.171	0.073	0.11716657	0.989507	0.989507	0	0	0	0	0.1667	4e-06	4e-06	0.4435	0
IGF1R	RDH14	0	Coding_Random	1.017578	0.706501	1	0.129	0.413	0.574	0	0.80496633	0.38276237	0.051833	0.785918	0.320031	0	0	0	0	0.3889	0.0020179062	0.0032121807	0.5543	0
ZNF735	RESF1	0	Coding_Random	0.27270922	0.07401272	0	0	0	0	0	0.40442225	0.19832107	0.117485136	0.45867434	0.37766978	0	0	0	0	0.11253162	0.0019714262	0.0035475525	0.50286466	0
STON2	FFAR1	0	Coding_Random	0.226203	0.032545	0	0.143	0.233	0.28	0	0.162	0.072	0.060174	0.569697	0.566956	0	0	0	0	0.2778	0.0010806714	0.0019720562	0.6474	0
PMIS2	MELK	0	Coding_Random	0.35933575	0.12759216	0	0.34399775	0.176314	0.39961922	3.1227214e-06	0.5600092	0.26129714	0.093182184	0.6717954	0.4300328	0	0.0070952973	8.5997744e-05	0	0.14015529	0.0009577654	0.0015619023	0.48530978	0.067058034
MERTK	TLR3	0	Coding_Random	0.777245	0.289394	0	0.705	0.391	0.63	0	0.175	0.011	0.025336	0.001211	0.001211	0	0.346	0	0	0.2593	2.2e-05	3e-05	0.4109	0.502
ABHD1	OR5M8	0	Coding_Random	0.3832655	0.16276786	0	0.339	0.224	0.305	0	0.06	0.014	0.07812	0.009734	0.009734	0	0	0	0	0	0	1e-06	0.4996504	0
NWD1	TMEM120B	0	Coding_Random	0.24250683	0.007827395	0	0	0.089	0.294	0	0.295	0.065	0.271163	0.264379	0.264379	0	0.503	0.15604599	0	0.0909	4e-06	6e-06	0.5676	0
MED16	KIAA2026	0	Coding_Random	0.215263	0.035635	0	0.3841318	0.17076729	0.42643875	0	0.499	0.303	0.083299	0.767411	0.48153216	0	0	0	0	0.5714	3.7e-05	6.5e-05	0.4396	0.010054097
SDR9C7	UBE2J1	0	Coding_Random	0.223238	0.036789	0	0.18	0.224	0	0	0.43020055	0.21440262	0.174313	0.871454	0.844397	0	0	0	0	0	0.000257	0.000417	0.5753	0
IFT140	GGA2	0	Coding_Random	0.209784	6.6e-05	0	0.754	0.377	0.37	0	0.347	0.213	0.054307	5e-05	5e-05	0	0	0	0	0.5	0.000201	0.000332	0.3933	0
GCC2	DIPK1C	0	Coding_Random	0.337359	0.12601486	0	0.29002684	0.13574252	0.33538833	0	0.5109967	0.25278965	0.0997581	0.6111168	0.44477382	0	0	0.00014675321	0	0.05745497	6.2e-05	0.000106	0.6306	0.049235143
HNRNPCL3	BNC1	0	Coding_Random	0.34163147	0.12315393	0	0.3526854	0.17159685	0.3755125	0	0.49821302	0.23557675	0.10547621	0.5615038	0.38542914	0	0.004999953	0	0	0.12335123	0.0013690963	0.0022826365	0.4881681	0.06366107
KLK6	CFAP99	0	Coding_Random	0.37907717	0.13758497	0	0.32446983	0.17833757	0.38360897	0	0.46834514	0.2183942	0.09574535	0.48569837	0.36385906	0	0	0	0	0	0.000163	0.000288	0.4921	0.07099533
COL4A2	PPP2R3A	0	Coding_Random	0.35390368	0.11789997	1	0.531	0.256	0.273	0	0.37	0.108	0.054895	0.92049	0.920486	0	0	0	0	0.1667	0.000117	0.000176	0.4165	0
DOCK9	TM4SF19	0	Coding_Random	0.31591177	0.10433762	0	0.3836829	0.18164293	0.44185033	0	0.357	0.243	0.09278363	1.01393	0.986068	0	0	0	0	0.3158	4.9e-05	7.8e-05	0.4032	0.03980385
IVNS1ABP	DCAF8	0	Coding_Random	0.3913498	0.14468096	1	1	0.441	0.736	0	0.81428266	0.27538103	0.0929	1.998796	0.000664	0	0	0	0	0.0769	0.000128	8.3e-05	0.3985	0
AVIL	MS4A7	0	Coding_Random	0.122423284	0	1	0	0.020152288	0.13911916	0	0.144	0.036	0.294849	9e-06	9e-06	0	0	0	0	0.1765	3.6e-05	3.2e-05	0.4986	0
SNTB2	CCDC65	0	Coding_Random	0.233284	0.046362	0	0.35481274	0.14847364	0.39266658	0	0.828	0.552	0.104788214	0.036219	0.036217	0	0	0	0	0.1739	0.000223	0.000395	0.4198	0.044869035
GRHL3	USP31	0	Coding_Random	0.33095402	0.10871597	1	0.121	0.177	1	0	0.425	0.119	0.115421	1.004335	0.986833	0	0	0	0	0.2667	9e-06	1.4e-05	0.4245	0
NOXO1	CDH4	0	Coding_Random	0.282493	0.003874	0	0.535	0.253	0.651	0	0.169	0.061	0.050673	0.966988	0.966988	0	0	0	0	0.2941	0.0009614868	0.0015291015	0.4691	0
SAP25	CFAP46	0	Coding_Random	0.31346184	0.09848114	0	0	0	0	0	0.39702293	0.17976193	0.11701562	0.35745624	0.32469872	0	0	0	0	0.1579	1e-06	2e-06	0.4887	0
NOTCH4	SCRT2	0	Coding_Random	0.34809333	0.13798025	0	0.25	0.377	0.522	0	0.507	0.259	0.098386	0.364922	0.364922	0	0	0	0	0	5e-06	4e-06	0.4655	0
ANKIB1	MIP	0	Coding_Random	0.35863164	0.13298303	0	0.467	0.109	0.365	0	0.608	0.308	0.101352	1.6778	0.321971	0	0	0	0	0.1538	0.0023480917	0.0040623844	0.5671	0
HOXB3	ANKRD33B	0	Coding_Random	0.3910339	0.15339516	1	0.31458634	0.16014098	0.38332808	0	0.51163757	0.24002159	0.10424383	0.54953283	0.4253841	0	0	0	0	0.0476	0.000177	0.000284	0.6491	0.062403787
TMEM42	CRYBG2	0	Coding_Random	0.3642009	0.13077872	0	0.29299852	0.16435464	0.35501316	0	0.48832974	0.23487245	0.1034763	0.5327675	0.38515735	0	0	0	0	0	9e-06	1.2e-05	0.5118	0.05720366
JRK	VASP	0	Coding_Random	0.38155454	0.14266373	0	1	0.157	0.308	0	0.6332697	0.27435696	0.08419584	0.786886	0.4979138	0	0	0	0	0.1818	0.0009137768	0.0014918288	0.6084	0
ZNF761	CSF3R	0	Coding_Random	0.241955	0.057342358	0	0	0	0.305	0	0.175	0.097	0.12007085	0.29146814	0.29652837	0	0	0	0	0.2308	0.0012713077	0.0022234702	0.46665084	0
ITIH1	GALR1	0	Coding_Random	0.337836	0.024867	0	0.355	0	0.163	0	0.404	0.25	0.095715	0.000193	0.000193	0	0	0	0	0	0.005582	0.009903	0.4447	0.376
EFCAB13	RABGAP1L	0	Coding_Random	0.3275085	0.09631681	0	0.2685306	0.1796344	0.33282056	0	0.39537874	0.16309229	0.145169	0.089173	0.089173	0	0.193	0.053442154	0.0070507135	0.0526	0.000425	0.000752	0.3097	0.03267948
RAPGEF6	NOLC1	0	Coding_Random	0.236067	0.038189	0	0.617	0.22	0.405	0	1.224	0.03	0.095715	1.24485	0.751203	0	0	0	0	0.3333	0.001036	0.001276	0.3527	0.071
ZNF347	PRDM8	0	Coding_Random	0.26071194	0.05779444	0	1	0	1	0	0.283	0.165	0.09464	0.69446695	0.4518571	0	0.217	0.03736911	0.5	0.3	2e-06	1e-06	0.5377	0
NFATC2	CSMD1	0	Coding_Random	0.552454	0.304568	0	0	0	0	0	1.065	0.727	0.030637	0.9896453	0.6708184	0	0	0	0	0	5.4e-05	9.5e-05	0.5711	0.51
MGAT3	USP19	0	Coding_Random	0.3586852	0.122806944	0	0.201	0.295	0.724	0	0.322	0.028	0.062285	1.460171	0.539812	0	0	0	0	0.1154	5.9e-05	0.000104	0.3445	0
CTNNA2	TRMT5	0	Coding_Random	0.200192	0.025067	1	0.116	0.096	0.622	0	0.478	0.18	0.089466	1.964986	0.03445	0	0	0	0	0.1053	0.000155	0.000137	0.5471	0
KRTAP13-3	VPS72	0	Coding_Random	0.14240377	0.009051412	0	1	0.072	0.413	0	0.266	0.212	0.285166	0.250111	0.248746	0	0	0	0	0	8.4e-05	0.000126	0.5108298	0
UBTFL1	OGFOD1	0	Coding_Random	0.26508087	0.08011907	0	0	0	0	0	0.34463775	0.18065062	0.113231756	0.37152097	0.31732124	0	0	0	0	0	0.0009274236	0.0016812445	0.51799434	0
AREG	C9orf38	0	Coding_Random	0.37927836	0.14149895	0	0.3610548	0.18695553	0.4429834	4.1129024e-06	0.510828	0.2292932	0.09190878	0.6463016	0.42112318	0	0.009305112	0.00062164007	0.0027387626	0.13486855	0.0057159564	0.009849434	0.48645508	0.076448865
UTP14C	CARS1	0	Coding_Random	0.38001838	0.14909643	0	1	0	0.726	4.148203e-06	0.5997198	0.270008	0.078032054	0.74372315	0.45908952	0	0.006465628	0	0.0051782485	0.1627964	0.0013679954	0.0020577866	0.48334315	0
CTRC	MYO15A	0	Coding_Random	0.42884523	0.15477377	0	0	0	0.296	0	0.6	0.056	0.09853	0.63697016	0.2687731	0	0	0	0	0.0588	0.0010937057	0.0016681373	0.2214	0.149
SLC44A1	ZAR1L	0	Coding_Random	0.29672402	0.08711108	0	0	0	0	0	0.40521413	0.18452774	0.122152075	0.4306653	0.36060613	0	0	0	0	0.0909	0.000111	0.000175	0.5611	0.057
FAM124A	PTPRQ	0	Coding_Random	0.202873	0.007069	0	0.31259212	0.13998301	0.29153612	0	0.62	0.048	0.166325	0.68560314	0.349941	0	0	0	0	0.0526	0.0010402701	0.0018085582	0.561	0.018393831
ANKK1	CFAP54	0	Coding_Random	0.27133644	0.07920468	0	0	0	0	0	0.37245312	0.16169624	0.12964398	0.37853095	0.28094798	0	0.0024911258	0	0	0.2778	1e-06	1e-06	0.2943	0
CAD	ANKRD42	0	Coding_Random	0.236812	0.027861	0	0.3897799	0.22653289	0.52753025	0	0.809	0.567	0.022738	1	1	0	0	0.0012015459	0	0.4	0.001073	0.001893	0.6202	0.08214921
UBE3B	C11orf80	0	Coding_Random	0.30697843	0.122745685	0	0	0.207	0	0	0.197	0.127	0.086742	0.01785	0.000925	0	0	0	0	0	9e-06	1.5e-05	0.4459	0
THUMPD3	SMPD3	0	Coding_Random	0.282287	0.083778	1	0.146	0.223	0.564	0	0.4	0.166	0.09464	0.659196	0.659196	0	0	0	0	0.0556	0.000124	0.00021	0.5862	0
GSG1	TM4SF5	0	Coding_Random	0.24465248	0.06867293	0	0.119856544	0.072323926	0.24477357	0	0.181	0.073	0.165245	0.001362	0.001337	0	0	0	0	0	1e-06	2e-06	0.4491	0
MIER1	WDR54	0	Coding_Random	0.27197573	0.08039378	0	0	0	0	0	0.218	0.028	0.096752	0.966298	0.966293	0	0	0	0	0.4706	9.6e-05	9.2e-05	0.6391	0
FHAD1	HTR3C	0	Coding_Random	0.28653213	0.07179746	0	0.3400645	0.1787643	0.42970896	0	0.242	0.022	0.107986	0.37925166	0.2247109	0	0	0	0	0.1	0.001328434	0.0021296388	0.1244	0.047460012
EFCAB12	SQLE	0	Coding_Random	0.26664758	0.073624976	0	0.2676272	0.118126035	0.302997	0	0.49862456	0.2735006	0.162533	0.912973	0.912968	0	0	0	0	0.1176	3.6e-05	6.2e-05	0.5288	0.0037383826
ZNF217	MYH8	0	Coding_Random	0.391991	0.01794	0	0.268	0.132	0.503	0	0.875	0.069	0.060312	0.995448	0.995448	0	0	0	0	0.0455	8.3e-05	7.8e-05	0.526	0.467
KIF18B	SDC2	0	Coding_Random	0.41291958	0.17211168	0	0.518	0.297	0.428	0	0.632	0.38	0.05475	0.580033	0.579867	0	0	0	0	0.0455	0.0013142732	0.0020757404	0.5524	0
MCM10	TPH1	0	Coding_Random	0.532961	0.259167	1	0.143	0.414	0.322	0	0.566	0.102	0.085821025	2.7e-05	2.7e-05	1	0.254	0	0	0	0.0010640142	0.0015802388	0.467	0
ZNF746	MRM3	0	Coding_Random	0.3430806	0.1251728	0	0.478	0.238	0.647	0	0.5138468	0.24945393	0.09022208	0.5852218	0.37562495	0	0	0	0	0.1333	0.000135	6.6e-05	0.3483	0
ADGRF5	OLFML1	0	Coding_Random	0.36796805	0.12480774	0	0.35629717	0.18638287	0.41967338	0	0.53388417	0.21209037	0.09747642	0.68136	0.3411696	0	0	0	0	0.2632	8.2e-05	0.000112	0.1805	0.08400846
NUDCD1	GRK1	0	Coding_Random	0.26407	0.096793	0	0.14	0	0.222	0	0.336	0.026	0.087251	0.009158	0.00915	0	0	0	0	0.1429	0.00051	0.000897	0.5564	0.467
PTBP3	LAMC1	0	Coding_Random	0.39271334	0.13109013	1	0.163	0.305	0	5.9e-05	0.76893157	0.27041462	0.10205	1.978776	0.021223	0	0	0	0	0.28	0.001039	0.000153	0.5101	0
THEG	PGAP1	0	Coding_Random	0.26392686	0.07695789	1	0.214	0.058	0	0	0.264	0.13	0.144276	0.008786	0.008785	0	0	0	0	0	2e-06	4e-06	0.5298	0
ZNF219	MAMDC4	0	Coding_Random	0.194694	0.005397	0	0	0	0	0	0.385	0.133	0.211275	0.988718	0.988718	0	0	0	0	0.1905	1.4e-05	1.5e-05	0.2964	0
LAIR1	SRRM4	0	Coding_Random	0.30753508	0.10186113	0	0.298	0.116	0.372	0	0.4009493	0.20042977	0.11478151	0.411768	0.411727	0	0	0	0	0	9.5e-05	0.000169	0.5142	0
RERE	FAM86B1	0	Coding_Random	0.33567125	0.10394865	1	0	0	0	0	0.74571013	0.3181612	0.068477	1.744456	0.255535	0	0	0	0	0.3684	2e-05	3e-05	0.4974	0
FAM214B	HBG2	0	Coding_Random	0.37151298	0.13737102	0	0.38805437	0.18145485	0.41764304	0	0.56156445	0.22736892	0.099584	0.62902	0.146413	0	0	0	0	0.3333	0.00979	0.017343	0.4376	0.07329744
GNL1	NINL	0	Coding_Random	0.36797252	0.13216408	0	0.34	0.179	0.517	0	0.66750777	0.30734563	0.060593	0.999931	0.999931	0	0	0	0	0.375	0.000456	0.000803	0.399	0
DCLK3	CRISP3	0	Coding_Random	0.240024	0.013604	0	0.242	0.057	0.378	0	0.254	0.082	0.104082	0.439426	0.439206	0	0	0	0	0	0.00541	0.009596	0.5951	0
SGIP1	MON2	0	Coding_Random	0.195526	0.021437	0	1	0.276	0.334	0	0.832	0.226	0.064396	1.982359	0.016943	0	0	0	0	0.3043	0.0010421678	0.0015808557	0.4526	0
CCDC158	PRKDC	0	Coding_Random	0.41043383	0.1689329	1	0.43845788	0.1940645	0.40440533	0	0.63624233	0.36671492	0.083461	1	1	0	0	0	0	0.1	0.001727	0.003061	0.5638	0.10136361
TUBB4B	DGKI	0	Coding_Random	0.45235267	0.19588046	0	0.537	0.304	0.583	0	0.80159944	0.336383	0.062285	1.667557	0.191525	0	0	0	0	0.0588	0.015135	0.026849	0.4992	0
KIRREL3	ABCB6	0	Coding_Random	0.46381932	0.16789918	1	0.367	0.424	0.446	0	0.2	0.014	0.101928	0.977506	0.977506	0	0	0	0	0.0952	4.1e-05	7.1e-05	0.4445	0.329
SUGP2	ANGPTL4	0	Coding_Random	0.4102998	0.1707464	1	0.367	0	0.107	0	0.58730906	0.3016752	0.085362	0.999367	0.999367	0	0	0	0	0	0.00021	0.000332	0.5504	0
TRPC7	CDC42BPG	0	Coding_Random	0.24779	0.040393	0	0.457	0.163	0.352	0	0.386	0.188	0.103375	0.002986	0.002986	0	0	0	0	0	1.1e-05	1.9e-05	0.3694	0
CYP4A11	NBEAL2	0	Coding_Random	0.42790163	0.17000641	0	0.143	0.126	0.643	0	0.54888	0.27927822	0.087776	0.862533	0.862533	0	0	0	0	0	0.000155	0.000217	0.585	0
SPG7	STXBP5L	0	Coding_Random	0.33877316	0.11669169	0	0.425	0.347	0.504	0	0.349	0.113	0.062285	0.999948	0.999948	0	0	0	0	0.2308	2.1e-05	3.4e-05	0.5628	0
CEP164	SPN	0	Coding_Random	0.607955	0.381127	0	0.815	0.183	0.435	0.00011	0.613	0.065	0.052784	0.091271	0.091271	0	0	0	0	0	0.000147	0.000254	0.4707	0
KIRREL2	ESCO1	0	Coding_Random	0.21345	0.007888	0	0.214	0.092	0.224	0	0.995	0.739	0.062563	0.998818	0.998801	0	0	0	0	0.087	2e-06	2e-06	0.4362	0.128
TRANK1	CCL27	0	Coding_Random	0.29502562	0.10006775	0	0.25630516	0.12563539	0.2516848	0	0.29070213	0.14611414	0.133802	0.016889	0.016889	0	0	0	0	0	4e-06	1e-06	0.5964	0.03431238
ATP6V1FNB	BCAS3	0	Coding_Random	0.35144484	0.120133206	0	0.31100318	0.17656036	0.41512683	0	0.5174037	0.2425473	0.09900801	0.63838476	0.44803154	0	0.00299522	0.00065895607	0.001522637	0.08995306	0.0012989002	0.0022367644	0.5951	0.06627534
TPRN	COL5A2	0	Coding_Random	0.35067746	0.12583417	1	0.4	0.142	0.268	0	0.5094389	0.24060741	0.10493112	0.573256	0.42874146	0	0	0.0010995356	0	0.0455	7.8e-05	4.8e-05	0.6353	0
MCL1	UBE2Q2L	0	Coding_Random	0.34800526	0.12154597	1	0.35083818	0.17931427	0.40653858	0	0.55078465	0.2504866	0.093129076	0.6762272	0.4160152	0	0	0	0.0033626067	0.1739	5.3e-05	9.4e-05	0.4097	0.062213518
TNFRSF19	LOXL1	0	Coding_Random	0.463702	0.126238	0	0.158	0.357	0.186	0	0.975	0.831	0.054895	0.8929988	0.6222035	0	0	0	0	0.0556	3e-05	3.2e-05	0.3023	0.154
LRRC32	NECTIN4	0	Coding_Random	0.3485786	0.12790747	0	0.721	0.097	0.378	0	0.53450966	0.24464628	0.10090182	0.66778076	0.44024467	0	0	0	0	0.0526	5.6e-05	5.7e-05	0.5919	0
CCDC33	REELD1	0	Coding_Random	0.35592365	0.1309334	0	0.39278486	0.18086562	0.3834505	0	0.49531075	0.24258693	0.09859892	0.5334775	0.36320752	0	0.009302059	0	0	0.15176931	0.0010939256	0.0017736634	0.4284	0.07852244
MEIOC	HIP1	0	Coding_Random	0.36975086	0.13748664	1	0	0.245	0.614	0	0.55548906	0.2619787	0.09367304	0.6268471	0.41177893	0	0	0	0	0.0667	6.9e-05	0.000113	0.4998	0
TRIM14	KHK	0	Coding_Random	0.34658283	0.122466214	0	0.477	0.187	0	0.00013	0.466	0.264	0.096752	0.010267	0.01016	0	0	0.018642416	0	0.1538	0.000185	0.000212	0.3282	0
CD81	GOLGA3	0	Coding_Random	0.524752	0.259573	0	0.613	0.409	0.388	0	0.472	0.222	0.054895	1.942086	0.041043	0	0	0	0	0.2857	0.001521	0.001805	0.4626	0
TXNDC12	KRBA2	0	Coding_Random	0.2501568	0.05947447	0	0	0	0	0	0.33046693	0.1344535	0.145442	0.34487	0.344869	0	0	0	0	0.3333	0.001166	0.00203	0.5492	0
F7	RTKN	0	Coding_Random	0.370976	0.165421	1	0.477	0.25	0.377	0	0.232	0.058	0.0929	0.000163	0.000136	0	0	0	0	0.1	0.000635	0.000843	0.2549	0.273
ABCA12	MUSK	0	Coding_Random	0.936412	0.620692	2	0.454	0.289	0.365	0	0.514	0.248	0.052784	8.2e-05	8.1e-05	0	0	0	0	0.0588	5e-06	9e-06	0.4386	0.121
VCAN	HS6ST1	0	Coding_Random	0.902936	0.591371	2	0.159	0.533	0.341	0	1.397	0.591	0.022521	1.90581	0.093691	0	0.174	0	0	0.0556	0.00011	0.000186	0.5112	0
DUSP5	ZGPAT	0	Coding_Random	0.35898	0.144884	0	0.354	0.337	0.718	0	0.443	0.199	0.062847	0.025622	0.025566	0	0	0	0	0.1667	6.2e-05	3.9e-05	0.4497	0
ZNF683	CKMT2	0	Coding_Random	0.31448698	0.099607736	0	0.132	0.11	0	0	0.238	0.038	0.11882354	0.001561	0.001561	0	0	0	0	0	0.000413	0.000732	0.5386	0
GPR182	TMEM218	0	Coding_Random	0.34041905	0.12206357	0	0.27586198	0.14031623	0.33573762	0	0.3609963	0.14924113	0.105244845	0.00235	0.00063	0	0	0	0	0.1667	0	0	0.5497	0.037326198
DDX51	OASL	0	Coding_Random	0.216885	0.0024	0	0.616	0.428	0.774	0	0.192	0.022	0.06519	0	0	0	0	0	0	0.0526	0.000175	0.000241	0.4906	0
NCOR1	OR5T3	0	Coding_Random	0.708451	0.540582	1	0.122	0.166	0.288	0	0.622	0.456	0.07484433	1.000013	0.999987	0	0	0	0	0	8.3e-05	0.000106	0.53241664	0
ZNF799	KRTAP10-2	0	Coding_Random	0.26179105	0.06923279	0	0	0	0	0	0.23402825	0.086284615	0.12998518	0.01714	0.017004	0	0	0	0	0	3e-06	4e-06	0.506825	0
MCC	C6orf226	0	Coding_Random	0.17057641	0.019984506	0	0.009158615	0	0	0	0.32669708	0.07027864	0.267747	0.494949	0.494949	0	0	0	0	0.4615	2.4e-05	4e-05	0.5383	0
UTRN	APOBEC3H	0	Coding_Random	0.679136	0.441995	0	0.625	0.145	0.514	0	0.197	0.125	0.08008466	0.637623	0.637623	0	0	0	0	0.0556	0.000177	0.000284	0.4181	0
ALPK3	ZNF439	0	Coding_Random	0.23671973	0.046739865	0	0	0	1	0	0.319	0.053	0.230583	0	0	0	0	0	0	0	3e-06	3e-06	0.58	0
SMIM35	TLCD1	0	Coding_Random	0.3486918	0.11761984	0	0.27903217	0.14616276	0.33349302	8.164694e-07	0.46686533	0.21197532	0.1063907	0.53549594	0.38450113	0	0.003058413	0	0.0028690612	0	0.001148192	0.0019473749	0.51393396	0.060631257
CES5A	C8orf74	0	Coding_Random	0.27677912	0.09498582	0	0.2563206	0.10873061	0.2599711	0	0.3099006	0.13913532	0.12433402	0	0	0	0	0	0	0.0769	1e-06	2e-06	0.5933	0.006236479
PAPSS2	MYO18A	0	Coding_Random	0.311998	0.024216	0	0.117	0.142	0.427	0	0.59	0.22	0.101113	0.999418	0.999417	0	0	0	0.0556	0	0.000449	0.000133	0.4952	0.329
CARS1	IQCE	0	Coding_Random	0.37008214	0.14455132	0	1	0.058	0.396	3.568839e-06	0.57922137	0.26121962	0.08485766	0.7157211	0.44524476	0	0.005984002	4.851113e-05	0.0051450953	0.15652862	0.0013188035	0.002047736	0.48544896	0
STK10	RYR2	0	Coding_Random	0.417828	0.139958	1	0.563	0.228	0.584	0	0.652	0.122	0.095154	1	1	0	0	0	0	0.1111	0.000691	0.001174	0.6167	0
REEP4	SH3RF2	0	Coding_Random	0.197839	0.002334	0	0.508	0.106	0.704	8.8e-05	0.315	0.023	0.097029	0.175028	0.175028	0	0	0.011785935	0	0.3571	5.5e-05	8.2e-05	0.3892	0
HMOX1	OTOF	0	Coding_Random	0.42915493	0.1903226	1	0.367	0.123	0.487	0	0.594	0.41	0.057007	0.000641	0.000641	0	0	0	0	0	0.000343	0.000592	0.4802	0
ZNF516	USO1	0	Coding_Random	0.212375	0.00158	0	0.466	0.117	0.704	0	1.022	0.7	0.072486	1.186842	0.649182	0	0	0	0	0.1765	0.0009385757	0.0015322701	0.5634	0
NOC3L	NXF1	0	Coding_Random	0.258481	0.062334	0	0.74	0	0.773	0	0.899	0.279	0.052737	0.998992	0.998989	0	0	0	0	0.3684	0.000656	0.000107	0.5314	0
RASSF7	PRR5	0	Coding_Random	0.240386	0.038236	0	1	0	0.35	0	0.58961624	0.2573734	0.0929	0.972993	0.972986	0	0	0	0	0.2174	0.0015958082	0.0025354447	0.2533	1
DIDO1	HGSNAT	0	Coding_Random	0.25266725	0.06903869	0	0.133	0	0	0.00011	0.592	0.366	0.105713256	0.999992	0.999989	0	0	0.007914816	0	0.5833	0.00013	0.000222	0.4773	0
PRAMEF3	TSPAN16	0	Coding_Random	0.3720937	0.13604687	0	0.35217968	0.1716949	0.40837386	3.8231015e-06	0.5971319	0.2782129	0.09025145	0.7192155	0.44444552	0	0.009464848	0.0001930577	0.004715351	0.13852929	0.0015663491	0.0025272686	0.48513243	0.06967664
CYP2A7	JADE2	0	Coding_Random	0.29740718	0.093973234	0	0.59	0.307	0.488	6.5e-05	0.34965947	0.15553199	0.177507	0.4503036	0.3438636	0	0	0	0	0.0556	1.8e-05	7e-06	0.5357	0
ZNF234	INF2	0	Coding_Random	0.3436663	0.13153204	0	0	0	0.413	0	0.57446855	0.31233108	0.100308	0.999083	0.999083	0	0	0	0	0.0952	0.000792	0.001403	0.5098	0
CCDC186	CTAGE1	0	Coding_Random	0.262531	0.07913049	0	0	0	0	0	0.29993868	0.16279867	0.14778797	0.23866077	0.26161554	0	0	0	0	0.0556	3.1e-05	2.3e-05	0.5313	0
RSPO4	RPRD2	0	Coding_Random	0.23298	0.042054	0	0.254	0.048	0.104	0	0.566004	0.30923697	0.060545	1.00039	0.999564	0	0	0	0	0.0476	0.000143	0.000253	0.4932	0
TBKBP1	DMRTB1	0	Coding_Random	0.229764	0.033086	0	0.606	0	0	0	0.806	0.04	0.073633	0.627414	0.550659	0	0	0	0	0.0833	1.5e-05	1.5e-05	0.4761	0
